球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
勒布朗-詹姆斯,239,10059,49.10%,2457,5006,33.20%,370,1116,74.30%,1627,2191,2122,1687,419,232,866,569,6911
迈克尔-乔丹,179,7474,48.70%,2188,4497,33.20%,148,446,82.80%,1463,1766,1152,1022,376,158,546,541,5987
卡里姆-贾巴尔,237,8851,53.30%,2356,4422,0.00%,0,0,74.00%,1050,1419,2481,767,0,0,0,797,5762
科比-布莱恩特,220,8635,44.80%,2014,4499,33.10%,292,882,81.60%,1320,1617,1119,1040,310,144,647,660,5640
沙奎尔-奥尼尔,216,8099,56.30%,2041,3627,0.00%,0,0,50.40%,1168,2317,2508,582,117,459,649,769,5250
蒂姆-邓肯,251,9372,50.10%,1975,3939,14.30%,5,35,68.90%,1217,1766,2859,764,168,568,633,701,5172
卡尔-马龙,193,7907,46.30%,1743,3768,16.20%,6,37,73.60%,1269,1725,2062,610,258,135,550,661,4761
杰里-韦斯特,153,6321,46.90%,1622,3460,0.00%,0,0,80.50%,1213,1506,855,970,0,0,0,451,4457
托尼-帕克,226,7766,46.10%,1613,3502,30.90%,119,385,73.10%,700,958,667,1143,198,19,594,429,4045
凯文-杜兰特,136,5513,47.40%,1340,2827,35.10%,297,847,86.50%,999,1155,1057,548,137,161,429,336,3976
德维恩-韦德,177,6694,47.40%,1450,3062,33.80%,103,305,78.00%,951,1220,928,870,273,175,583,467,3954
拉里·伯德,164,6886,47.20%,1458,3090,32.10%,80,249,89.00%,901,1012,1683,1062,296,145,506,466,3897
约翰-哈福利切克,172,6860,43.60%,1451,3329,0.00%,0,0,83.60%,874,1046,1186,825,0,0,0,527,3776
哈基姆-奥拉朱旺,145,5749,52.80%,1504,2847,22.20%,4,18,71.90%,743,1034,1621,458,245,472,424,562,3755
埃尔文-约翰逊,190,7538,50.60%,1291,2552,24.10%,51,212,83.80%,1068,1274,1465,2346,358,64,696,524,3701
德克-诺维茨基,145,5894,46.20%,1220,2642,36.50%,149,408,89.20%,1074,1204,1446,360,149,129,328,407,3663
斯科蒂-皮蓬,208,8105,44.40%,1335,3009,30.30%,200,660,72.40%,772,1067,1583,1048,395,185,602,686,3642
埃尔金·贝勒,134,5510,43.90%,1388,3161,0.00%,0,0,76.90%,847,1101,1724,541,0,0,0,435,3623
威尔特-张伯伦,160,7559,52.20%,1425,2728,0.00%,0,0,46.50%,757,1627,3913,673,0,0,0,402,3607
凯文-麦克海尔,169,5716,56.10%,1204,2145,38.10%,8,21,78.80%,766,972,1253,274,65,281,326,571,3182
保罗-皮尔斯,170,6233,42.30%,1022,2415,35.50%,276,777,83.00%,860,1036,985,578,204,105,476,547,3180
丹尼斯-约翰逊,180,6994,43.90%,1167,2661,0.00%,0,0,80.20%,756,943,781,1006,247,113,480,575,3116
朱利叶斯-欧文,141,5288,48.60%,1187,2441,0.00%,0,0,77.90%,707,908,994,594,235,239,0,403,3088
马努-吉诺比利,218,6075,43.30%,956,2209,35.80%,324,905,81.70%,818,1001,874,827,292,61,481,588,3054
詹姆斯-沃西,143,5297,54.40%,1267,2329,20.90%,14,67,72.70%,474,652,747,463,177,96,298,352,3022
雷吉-米勒,144,5308,44.90%,941,2095,39.00%,320,820,89.30%,770,862,416,357,146,34,257,276,2972
克莱德-德雷克斯勒,145,5572,44.70%,1076,2408,28.80%,141,489,78.70%,670,851,1002,891,278,108,397,486,2963
萨姆-琼斯,154,4654,44.70%,1149,2571,0.00%,0,0,81.10%,611,753,718,358,0,0,0,391,2909
查尔斯-巴克利,123,4849,51.30%,1009,1965,25.50%,64,251,71.70%,751,1048,1582,482,193,108,353,408,2833
罗波特-帕里什,184,6177,50.60%,1132,2239,0.00%,0,0,72.20%,556,770,1765,234,145,309,0,617,2820
帕特里克-尤因,139,5207,46.90%,1104,2353,34.80%,8,23,71.80%,597,831,1435,275,122,303,345,522,2813
雷-阿伦,171,6055,44.30%,928,2095,40.10%,385,959,88.30%,508,575,648,449,164,41,274,402,2749
比尔-拉塞尔,165,7497,43.00%,1003,2335,0.00%,0,0,60.30%,667,1106,4104,770,0,0,0,546,2673
凯文-加内特,143,5276,47.80%,1059,2216,27.30%,15,55,78.90%,468,593,1534,471,178,186,342,431,2601
理查德-汉密尔顿,130,5035,43.90%,943,2148,34.00%,71,209,86.00%,614,714,506,467,122,24,348,401,2571
斯蒂芬-库里,99,3709,45.20%,851,1883,40.70%,410,1007,89.80%,439,489,525,622,169,29,350,250,2551
詹姆斯-哈登,113,3937,41.60%,759,1823,32.80%,263,802,87.40%,769,880,602,633,197,54,389,349,2550
昌西-比卢普斯,146,5321,41.10%,737,1793,36.60%,267,729,88.00%,785,892,492,831,148,23,322,373,2526
拉塞尔-威斯布鲁克,98,3710,41.10%,861,2097,30.20%,140,464,84.20%,627,745,685,778,184,28,390,284,2489
拜伦-斯科特,183,5365,48.20%,934,1937,39.50%,134,339,81.90%,449,548,536,390,226,30,266,445,2451
约翰-斯托克顿,182,6398,47.30%,855,1809,32.60%,111,341,81.00%,615,759,608,1839,338,50,517,539,2436
拉希德-华莱士,177,5839,44.40%,917,2065,35.20%,190,540,71.70%,360,502,1099,264,145,225,229,645,2384
伊塞亚-托马斯,111,4216,44.10%,825,1869,34.60%,81,234,76.90%,530,689,524,987,234,38,369,363,2261
鲍勃-佩蒂特,88,3545,41.80%,766,1834,0.00%,0,0,77.40%,708,915,1304,241,0,0,0,277,2240
大卫-罗宾逊,123,4221,47.90%,768,1604,10.00%,1,10,70.80%,684,966,1301,280,151,312,280,423,2221
埃尔文-海耶斯,96,4160,46.40%,883,1901,0.00%,0,0,65.20%,428,656,1244,185,0,0,0,378,2194
加里-佩顿,154,5482,44.10%,855,1938,31.50%,137,435,70.60%,308,436,575,811,216,32,297,434,2155
德里克-费舍尔,259,6847,42.20%,735,1740,39.90%,285,715,80.50%,391,486,578,598,272,16,237,645,2146
阿伦-艾弗森,71,3205,40.10%,755,1882,32.70%,123,376,76.40%,478,626,273,425,147,14,221,157,2111
保罗-加索尔,136,4821,50.70%,812,1600,29.70%,11,37,74.10%,463,625,1246,438,71,233,250,356,2098
杰夫-霍纳塞克,140,4766,47.00%,741,1578,43.30%,122,282,88.60%,488,551,527,525,170,25,231,385,2092
克莱-汤普森,111,4101,43.90%,778,1771,40.80%,326,799,83.60%,209,250,434,244,103,59,195,300,2091
克里斯-保罗,99,3688,47.90%,759,1585,36.80%,166,451,84.50%,398,471,494,848,219,17,266,302,2082
